trade_date,symbol,direction,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,holding_minutes,entry_reason,door,move_age_min,volume_x,off_high_pct,run_up_pct,results_grade,news_kind,sector
2026-09-08,NELCO,LONG,2026-09-08 14:08:35.073320,2026-09-08 15:19:28.000000,989.59,973.21,126,-2063.879999999999,MANUAL_EXIT,70.88211133333333,RANKED_SETUP,,,,,,GOOD,,TELECOM
2026-09-08,IKIO,LONG,2026-09-08 14:50:00.304323,2026-09-08 15:19:29.000000,222.81,218.89,448,-1756.1600000000071,MANUAL_EXIT,29.47826128333333,RANKED_SETUP,,,,,,MIXED,,CONSUMER DURABLES
2026-09-08,PRABHA,LONG,2026-09-08 14:53:41.414350,2026-09-08 15:19:38.000000,256.51,251.6,304,-1492.639999999999,MANUAL_EXIT,25.943094166666665,RANKED_SETUP,,,,,,GOOD,,OIL & GAS
2026-09-08,SPLPETRO,LONG,2026-09-08 15:00:23.958617,2026-09-08 15:19:42.000000,829.4,827.59,180,-325.7999999999902,MANUAL_EXIT,19.300689716666668,RANKED_SETUP,,,,,,STRONG,,CHEMICALS
2026-09-09,WHEELS,LONG,2026-09-09 09:16:49.818895,2026-09-09 09:39:17.000000,2338.97,2364.82,53,1370.0500000000193,BUYING_DRIED_UP,22.453018416666666,RANKED_SETUP,,,,,,MIXED,,AUTOMOBILE
2026-09-09,ADANIENT,LONG,2026-09-09 09:16:49.818895,2026-09-09 09:49:21.000000,2992.3,3037.58,63,2852.639999999984,BUYING_DRIED_UP,32.51968508333333,RANKED_SETUP,,,,,,MIXED,NEWS,DIVERSIFIED
2026-09-09,HAL,LONG,2026-09-09 09:16:49.818895,2026-09-09 12:09:29.000000,5045.22,5043.28,41,-79.54000000002088,BUYING_DRIED_UP,172.65301841666667,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-09,EIEL,LONG,2026-09-09 09:16:49.818895,2026-09-09 15:17:54.000000,211.4,206.1,639,-3386.700000000007,MANUAL_EXIT,361.06968508333335,RANKED_SETUP,,,,,,STRONG,ORDER,INFRASTRUCTURE
2026-09-09,JINDRILL,LONG,2026-09-09 09:16:49.818895,2026-09-09 15:18:41.000000,683.71,673.31,188,-1955.200000000017,MANUAL_EXIT,361.85301841666666,RANKED_SETUP,,,,,,MIXED,,OIL & GAS
2026-09-09,WABAG,LONG,2026-09-09 09:18:07.285352,2026-09-09 09:36:36.000000,2117.06,2161.92,67,3005.6200000000085,BUYING_DRIED_UP,18.478577466666664,RANKED_SETUP,,,,,,STRONG,ORDER_WIN,INFRASTRUCTURE
